project;plan
entityqueue_form_widget;"<strong><a href=""https://www.drupal.org/project/issues/search/entityqueue_form_widget?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
config_direct_save;"This module is compatible with Drupal 9."
cacheexclude;"The 8.x-1.x-dev branch is Drupal 9 ready and awaiting a stable release.  See https://www.drupal.org/project/cacheexclude/issues/3133757"
hierarchical_taxonomy_menu;"This module is Drupal 9 ready."
entity_update;"Drupal 9 ready"
block_blacklist;"Do not use for Drupal 9, switch to <a href=""https://www.drupal.org/project/block_list_override"">Block List Override</a> instead."
contact_storage_export;"This module is Drupal 9 ready."
role_expire;"Fully compatible with Drupal 9 since 8.x-1.4."
toc_js;"Compatible with Drupal 9 since 8.x-1.8 version"
twigsuggest;"This module is ported to Drupal 9."
text_summary_options;"This module is already compatible with Drupal 9."
pdfpreview;"This module is ready for Drupal 9."
remote_stream_wrapper;"This module is Drupal 9 ready!"
markdown;[#3103679]
layout_builder_blocks;"Ready for Drupal 9!"
critical_css;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/critical_css/releases/8.x-1.13"">version 1.13</a>"
paragraphs_admin;"Ready to be used with Drupal 9."
vendor_stream_wrapper;"Release 1.6 is here. Please test."
juicerio;[#3086282]
imce_rename_plugin;"Fully compatible with Drupal 9."
mail_safety;"8.x-1.1+ is Drupal 9 compatible."
jsonapi_include;"JSON:API Include 8.x-1.1+ supports Drupal 9. Enjoy."
colorbox_field_formatter;"This project is ready for Drupal 9"
view_mode_page;"Version 4.0.0 supports Drupal 9."
tzfield;"The 8.x-1.x branch of this module supports Drupal 9."
bfd;"This theme is compatible with Drupal 9."
footnotes;"Footnotes 3.0.0+ supports Drupal 9. Enjoy."
colorapi;"Release 1.1 is ready. Please test."
quick_node_block;"Compatible Stable Version to Drupal 9!"
vmi;"<strong><a href=""https://www.drupal.org/project/issues/search/vmi?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
slick_lightbox;"Slick Lightbox 8.x supports Drupal 9. Enjoy."
fancy_file_delete;"2.0.0+ Is D9 compatible."
maillog;"Should work with Drupal 9 as of the 8.x-1.0-beta1 release."
video_embed_brightcove;"This module is Drupal 9 compatible."
varbase_total_control;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_total_control?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
core_context;"This module is compatible with Drupal 9."
cookiebot;"8.x-1.0-alpha7+ is Drupal 9 compatible."
ckeditor_abbreviation;"This project is ready for Drupal 9"
block_list_override;"This module is Drupal 9 compatible."
bootstrap_site_alert;"Drupal 9 is fully supported since versions 8.x-1.8 && 8.x-2.0-beta5"
views_year_filter;"Release <code>8.x-1.1</code> or higher is D9 compatible!"
search_api_solr_multilingual;"This functionality of this module is already merged in Search API Solr itself. Just use that one. But the 3.x version of Search API Solr Multilingual still provides the required upgrade hooks to switch to Search API Solr! The 3.1 version and it's upgrade hooks already support Drupal 9!"
textimage;"Textimage 8.x-4.* is Drupal 9 ready."
tour_ui;"No known issues."
login_popup;"Drupal 9 compatible"
rrssb;"RRSSB supports Drupal 9"
config_normalizer;"8.x-1.x is Drupal 9 compatible."
no_autocomplete;"This module is ready for Drupal 9."
git_deploy;"Git Deploy fully supports Drupal 9."
migrate_manifest;"Works with Drupal 9.1 or higher. Drupal 9.0 will not work due to an API change fixed in later versions."
comment_notify;"Compatible with Drupal 9"
vertical_tabs_config;"This module is already compatible with Drupal 9."
search_api_spellcheck;"Full Drupal 9 support!"
reference_table_formatter;[#3144081]
hotkeys_for_save;"The module is ready for Drupal 9."
courier;"Drupal 8.9 and Drupal 9 support found in 2.x branch."
filehash;"The 8.x-1.x branch of this module supports Drupal 9."
bricks;"Porting efforts at [#3131548]"
oembed_providers;"This module is ready for Drupal 9!"
magazine_lite;"The theme is fully compatible with Drupal 9"
views_send;"Version 8.x-1.5 is ready for Drupal 9."
varbase_editor;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_editor?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
scheduled_transitions;"2.x branch is compatible with Drupal 9."
block_in_page_not_found;"This module is compatible with Drupal 9."
bootstrap_basic_image_gallery;"Drupal 9 compatible"
route_condition;"This project will be compatible with Drupal 9 when it is released."
rest_export_nested;"REST export Nested 8.x-1.0-alpha5 supports Drupal 9."
oauth2_client;"Version 3.x is ready for Drupal 9"
content_language_access;"Version 8.x-1.1 should work on Drupal 9. Please report any issues you find"
better_search;"Better Search Block 8.x-1.5+ supports Drupal 9. Enjoy."
field_slideshow;"Branch 8.3 is compatible with Drupal 9 :)"
menu_force;"This module is Drupal 9 compatible since the 1.2 release."
page_specific_class;"Fully Drupal 9 compatible as of 2.0.x."
varbase_bootstrap_paragraphs;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_bootstrap_paragraphs?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
entity_reference_tree;"2.0.0+ Support Drupal 9."
paragraphs_jquery_ui_accordion;"8.x-1.x-dev is compatible with Drupal 9."
background_image;"Version 2.0.0 and higher supports Drupal 9."
varbase_core;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_core?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
varbase_seo;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_seo?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
theme_switcher;"Theme Switcher supports Drupal 9."
newsplus_lite;"The theme is fully compatible with Drupal 9"
image_style_warmer;"Compatible with Drupal 9; please report any incompatibilities in the <a href=""https://www.drupal.org/project/issues/image_style_warmer"">issue queue</a>."
paragraphs_viewmode;"Drupal 9 compatible module."
nodeviewcount;"<a href=""https://www.drupal.org/project/nodeviewcount/issues/3103468"">#3103468: Add new key core_version_requirement in nodeviewcount.info.yml </a>"
apigee_edge;"8.x-1.10+ is Drupal 9 compatible."
disable_link_rel;"The current module version is ready to run!"
taxonomy_delete;"Taxonomy delete 8.x-1.1+ supports Drupal 9"
copyright_block;"8.x-1.0-rc3 is Drupal 9 compatible."
hcaptcha;"hCaptcha 1.1 is now Drupal 9 compatible."
flickity;"The 3.0.x version is Drupal 9 ready! Feel free to work on some issues in the queue to get a stable release."
fpa;"Drupal 9 support is coming to beta version."
meta_position;"Compatible Drupal 9"
unique_entity_title;"Unique entity title 8.x-1.2+ supports Drupal 9"
nbsp;"NBSP is now out for Drupal 9"
wordpress_migrate;"This module supports Drupal 8 and 9! Help welcome on Drush 9/10: [#2955644]"
simple_megamenu;"8.x-1.0 version is now compatible with Drupal 9."
config_default_image;"This module is Drupal 9 ready."
cheeseburger_menu;"This module is Drupal 9 ready."
copyright_footer;"<a href=""https://www.drupal.org/project/copyright_footer/issues/3138975"" title=""Drupal 9 readiness"">Issue #3138975: Drupal 9 readiness</a>"
paragraphs_sets;"8.x-2.x-dev is compatible with Drupal 9."
jquery_countdown_timer;"This module is Drupal 9 compatible 🍻"
http2_server_push;"This module is ready for Drupal 9 as of <a href=""https://www.drupal.org/project/http2_server_push/releases/8.x-1.1"">version 1.1</a>!"
nagios;"This module is ready for Drupal 9."
blazy_photoswipe;"Blazy PhotoSwipe 8.x supports Drupal 9. Enjoy."
corporate_lite;"The theme is fully compatible with Drupal 9"
block_form_alter;"This module is ready for Drupal 9!"
scss_compiler;"This module is ready for Drupal 9."
webform_xlsx_export;"This module is Drupal 9 ready."
photos;"Help port this project at [#3100870] Fund the port of this project at <a href=""https://buysomephotos.com/about"">the demo site</a>."
term_merge;"This module's source code will be kept compatible with Drupal 9 by regularly replacing usage of deprecated functionality. That should be all that's needed to ensure it runs on Drupal 9."
devel_debug_log;"#3084266: Test for Drupal 9 deprecations"
config_selector;"This project has released 8.x-2.0 that is compatible with Drupal 9 and has automated tests."
webform_content_creator;"Webform Content Creator 8.x-1.6+ supports Drupal 9. Enjoy."
contextual_range_filter;"Works in D8 as well as D9."
tacjs;"TacJS is Drupal 9 compatible."
fz152;"Drupal 9 support added in 8.x-1.5 release."
scheduled_publish;"3.x-dev needs to be tested."
at_theme;"This theme is D9 compatible."
http_response_headers;"Ready for Drupal 9."
xmlrpc;"Version 8.x-1.0-beta3 is compatible with both Drupal 8 and 9."
linkchecker;"Read more about this project’s readiness at [#3094762]"
entity_hierarchy;"Versions from 8.x-2.18 onwards are Drupal 9 compatible"
og;"The next alpha release (alpha 6) will be compatible with Drupal 9.1. See https://github.com/Gizra/og/pull/650"
queue_mail;"Drupal 9 compatible"
smsframework;"Drupal 9 support can be found in 2.x versions. It is a drop in replacement for 1.x branch."
dbal;"The module works with D9 🌰"
vartheme_admin;"<strong><a href=""https://www.drupal.org/project/issues/search/vartheme_admin?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
examples;"Help port this project at [#3088974]"
onlyone;"This module is ready for Drupal 9."
qa_accounts;"The 8.x-dev release is D9-compatible"
twitter_embed;"8.x-1.x is Drupal 9 compatible."
vartheme_bs4;"<strong><a href=""/project/issues/search/vartheme_bs4?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
modal_page;"Modal 4.0.0+ supports Drupal 9. Enjoy! 🎉"
simple_responsive_table;"Drupal 9 compatible ftom 8.x-2.3 version."
vartheme;"<strong><a href=""https://www.drupal.org/project/issues/search/vartheme?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
migrate_source_ui;"Support Drupal 9"
swagger_ui_formatter;"This module is ready for Drupal 9."
scanner;"D9 is fully supported since 8.x-1.0-rc2."
node_read_time;"Node read time 8.x-1.2+ supports Drupal 9."
noreferrer;"The 8.x-1.x branch of this module supports Drupal 9."
linkit_media_library;"This module is Drupal 9 compatible"
varbase_landing;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_landing?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
hierarchical_term_formatter;"Version 1.2 adds Drupal 9 support."
copyprevention;"This module is Drupal 9 compatible 🍻"
media_gallery;"8.x-1.0+ is Drupal 9 compatible."
cms_content_sync;"This module is Drupal 9 ready."
broken_link;"Drupal 9 compatible from 8.x-3.1 version"
pbf;"Drupal 9 ready since 8.x-1.3"
imagefield_tokens;"Module versions from <strong>8.x-2.2</strong>+ are Drupal Core<strong> 8.8.*+</strong> compatible Module versions before <strong>8.x-2.2</strong> are compatible with Drupal Core <strong>8.5 - 8.7</strong>"
forms_steps;"This module is compatible with D9 !"
block_classes;"This module is Drupal 9 compatible 🍻"
config_role_split;"Config Role Split is compatible with Drupal 9"
toc_api;"Drupal 9 support is coming to 1.0 stable release."
core_views_facets;"see [#3106829]"
datetime_extras;"datetime_extras is D9 ready as of <a href=""https://www.drupal.org/project/datetime_extras/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a>. Older versions of upgrade_status give false positives for deprecations, since we have fallback code to keep supporting 8.7.x core. You need at least phpstan version 0.12.19 for the ignore comments to work."
at_tool;"This module is D9 compatible"
job_scheduler;"Currently no known issues with Drupal 9."
views_timelinejs;"Versions 8.x-3.2 and higher are compatible with Drupal 9!"
preview_link;"Preview Link 1.6 and later support Drupal 9"
media_migration;"Media Migration is compatible with Drupal 9 from its <code>8.x-1.0-alpha2</code> release."
vppr;"8.x-1.1 release is compatible with Drupal 9."
field_image_style;"Drupal 9 ready"
language_cookie;"Read more about this project’s readiness at [#3134366]."
rng;"Drupal 9 support is complete on the new 3.x branch!"
advanced_help;"Release 8.x-1.0-beta1 is believed to be fully compatible."
bg_img_field;"8.x-1.7 is compatible with Drupal 9."
dfp;"<code>1.0</code> is Drupal 9 compatible."
varbase_heroslider_media;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_heroslider_media?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
social_auth_linkedin;"3.x versions support Drupal 9"
better_passwords;"Ready for Drupal 9!"
simplesamlphp_custom_attributes;"2.0.0 and 1.1 support Drupal 9."
termcase;"The development release is Drupal 9 compatible. The next stable release after 8.x-1.0 will be Drupal 9 ready."
reg_confirm_email;"Help port this project at [#3105943]"
commerce_google_tag_manager;"Commerce Google Tag Manager is ready for Drupal 9 - see the issue [#3090750]"
toc_filter;"Drupal 9 support is coming to 2.0 stable release."
realistic_dummy_content;"<p>This project is Drupal 9-compatible.</p>"
twig_render_this;"This module is Drupal 9 ready."
prevent_homepage_deletion;"Should be D9 compatible. See issue [#3124144]"
ckeditor_responsive_plugin;"This module is compatible with drupal 9 started version 2.0.0"
apigee_api_catalog;"8.x-2.0+ is Drupal 9 compatible."
userswitch;"User Switch 8.x-1.5 + supports Drupal 9. Enjoy."
views_load_more;[#3149281]
social_simple;"Social simple compatible Drupal 9 since 8.x-1.8 and 2.0.0 version"
entity_export_csv;"Entity Export Csv is Drupal 9 compatible since beta5 version"
layout_builder_simplify;"D9 compatible."
layout_section_classes;"D9 compatible."
html_formatter;"HTML Formatter supports Drupal 9."
nextpre;"This module is fully compatible with Drupal 9!"
sharedemail;"Release <code>8.x-2.1</code> is D9 compatible!"
search_api_field_map;"<strong>This module should be ready for use with Drupal 9.</strong>"
fotorama_gallery;"🎉This module is currently compatible with Drupal 9. See [#3062325]"
calendar_link;"<a href=""https://www.drupal.org/project/calendar_link/releases/2.0.0"">Calendar Links 2.0.0</a> supports Drupal 9."
mediteran;"Drupal 9 Ready 🎉"
quiz;"6.x-dev is Drupal 9 compatible."
menu_delete;"This module is fully compatible with Drupal 9."
scn;"8.x-1.4+ is Drupal 9 compatible."
htmlawed;"Drupal 9 port of this module is available."
ckeditor_contents;"<h2>Drupal 9 ready</h2> Tested and working with Drupal 9 since 8.x-1.2.  Drupal is moving to semantic versioning for modules. Until then, Drupal 9 will use 8.x modules flagged with `core_version_requirement`."
varbase_carousels;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_carousels?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
responsive_menus;"Context module integration in D9 is not yet working.   See #3212993"
media_download;"Ready for Drupal 9 since the initial release."
view_modes_display;"Supported as of 8.x-2.2!"
varbase_email;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_email?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
countries_info;"Module is compatible with Drupal 9."
conference_lite;"The theme is fully compatible with Drupal 9"
httpswww;"No known issues with Drupal 9."
bootstrap_datepicker;"Compatible since <a href=""https://www.drupal.org/project/bootstrap_datepicker/releases/8.x-1.0-beta3"">Beta 3 release</a>"
open_readspeaker;"Fully compatible as of 8.x-1.5."
menu_item_fields;"The latest release is compatible with Drupal 9"
phone_international;"<strong>This module is Drupal 9 ready.</strong>"
pdb;"Drupal 9 support is now in the latest development branch. Please test it out."
bxslider;"BxSlider is Drupal 9 compatible."
lp_fontawesome;"Compatible with Drupal 9"
entityconnect;"Entity connect 8.x-2.0-alpha2+ is Drupal 9 compatible."
varbase_styleguide;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_styleguide?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
layout_builder_operation_link;"Drupal 9 ready."
filelog;"This module is fully compatible with Drupal 9 as of version 2.0.0."
field_config_cardinality;"Drupal 9 fully supported!"
insert_view_adv;"Module is fully Drupal 9 compatible"
webform_node_element;"8.x-1.x-dev branch is D9 ready with the exception of tests."
views_merge_rows;"Compatible with Drupal 9 starting from 8.x-2.2-beta1 version."
extra_field_description;"Extra Field Description 8.x-1.6+ supports Drupal 9. Enjoy."
forward;"Drupal 9 releases of Forward are ready for Production use."
calendar_systems;"Already compatible with D9 on latest 8.x branch and releases."
rules_token;"Release 2.0.0 is compatible with Drupal 9."
custom_breadcrumbs;"Drupal 9 is also supported!"
add_content_by_bundle;"This module is ready for Drupal 9."
dblog_filter;"[#3058426] Test for Drupal 9 Deprecations"
protected_submissions;"8.x branch is compatible with Drupal 9!"
layout_bg;Ready!
node_access_grants;"This module is ready for Drupal 9."
addtocal;"Drupal 8/9 release support thanks to Greg Boggs.  9.x release pending, but 8.x is D9 ready."
node_access_rebuild_progressive;"There is a new release 2.0 covering Drupal 9, please use this version if you are working with Drupal version >= 8.8"
status_messages;"This module is Drupal 9 compatible 🍻"
miniorange_saml;"Currently no known issues with Drupal 9."
uswds_base;"Drupal 9 Ready"
condition_query;"Compatible with Drupal 9 as of <a href=""/project/condition_query/releases/8.x-1.3"">8.x-1.3</a>"
nice_login;"Compatible with Drupal 9"
fullcalendar;"Compatible since version 8.x-1.0-alpha3"
imagelightbox;"is now Drupal 9 compatible!"
bootstrap_quicktabs;"This module is Drupal 9 compatible"
queue_unique;"Module is compatible with Drupal 9 since [#3152220]"
transaction;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
modifiers;"This module is Drupal 9 compatible."
material_base;"The theme versions 1.8+ and 2.0+ are compatible with Drupal 9"
add_to_head;"<a href=""https://www.drupal.org/project/add_to_head/releases/8.x-1.0-alpha2"">8.x-1.0-alpha2</a> is Drupal 9 compatible"
layout_options;"This module passes the check-drupal tests for deprecated functions.  Unless there are major changes in the core Layout structure, this should work fine with 9."
sortableviews;"Version 8.x-1.0-beta1 supports Drupal 9"
create_user_permission;"The version 2.0.0 is fully compatible with Drupal 9."
pcb;"This module is Drupal 9 ready."
bootstrap5;"Drupal 9 compatible"
podcast;"The latest version is compatible with Drupal 9"
fac;"Fast Autocomplete >= 8.x-1.6 is Drupal 9 compatible."
ldap_sso;"Branch 4.x is compatible with D9."
field_time;"This module is fully compatible with drupal 9"
saml_sp;"Currently there is no known deprecated code, limited testing completed on Drupal 9."
twig_views;"Release <code>8.x-1.3</code> is D9 compatible!"
businessplus_lite;"The theme is fully compatible with Drupal 9"
duplicate_role;"Duplicate role is compatible with Drupal 9."
fillpdf;"Ready for Drupal 9, but some dependencies are not. Will not move to beta until they are. To sponsor development, see the <strong><a href=""#fund"">Help fund development</a></strong> section."
entityreference_dragdrop;"This module is ready for Drupal 9!"
field_inheritance;"Built and tested against D8.8, D8.9 and D9.0."
tooltip_taxonomy;"Tooltip Taxonomy 8.x-1.3+ supports Drupal 9."
terms_of_use;"8.x-2.0+ is Drupal 9 compatible."
tmgmt_extension_suit;"Drupal 9 compatible"
field_gallery;"Drupal 9 ready"
lingotek;"D9 Ready!  Tasks were done under [#3065940]"
paragraphs_browser_previewer;"Module already ready to Drupal 9"
groupmedia;"Module is Drupal 9 compatible."
show_email;"Show Email Address 8.x-1.0+ supports Drupal 9."
simple_styleguide;"Drupal 9 ready!"
field_label;"Field Label works with Drupal 9."
views_taxonomy_parent_id_from_term;"This module is Drupal 9 ready."
estore;"<h2>Drupal 9 Compatibility</h2> The theme is safe to be installed on the D9 project once the all modules dependencies will be ported to D9."
zuvi;"This theme is Drupal 9 ready. Zuvi theme is compatible on Drupal 9. So, go ahead and use the theme on Drupal 9 websites."
views_url_path_arguments;"Fully supports Drupal 9."
image_slider;"Module is compatible with Drupal 9."
token_embed_views;"Drupal 9 compatible."
typogrify;"The 8.x-1.0 release is compatible with Drupal 9."
protected_file;"Drupal 9 ready"
external_hreflang;"This module is D9 ready."
search_api_algolia;"Read more about this project’s readiness at <a href=""https://www.drupal.org/project/search_api_algolia/issues/3138856"">#3138856</a>"
s3fs_cors;"This module now works with Drupal 9."
config_log;"The version 3.0.0 is compatible with Drupal 9."
commerce_simple_stock;"This module is Drupal 9 compatible 🍻"
delete_files;"Delete Files 8.x-1.5+ supports Drupal 9."
vartheme_claro;"<strong>Works and ready for Drupal 9.</strong>"
tmgmt_smartling;"Drupal 9 compatible"
range_slider;"Release <code>8.x-1.1</code> is D9 compatible!"
drimage;"Drupal 9 is fully supported."
geshifilter;"The new dev branch 8.2 works with Drupal 8.8.x and with Drupal 9, so the plan is to release a beta version when Drupal 9 come and if there is not any new issue with it, release a stable version after."
warden;"Use the 3.x releases for Drupal 9."
draggable_dashboard;"Module is fully Drupal 9 compatible"
build_hooks;"The 2.x and 3.x versions support Drupal 9 ✨🦄"
adv_varnish;"4.0+ versions are compatible with Drupal 9"
simple_menu_permissions;"The dev version and the 1.3 release is compatible with Drupal 9 requirements."
registration_link;"No deprecation usage."
twig_remove_html_comments;"Release <a href=""https://www.drupal.org/project/twig_remove_html_comments/releases/8.x-1.0-beta1"" title=""8.x-1.0-beta1"">8.x-1.0-beta1</a> and onwards is compatible with Drupal 9."
varbase_search;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_search?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
google_optimize;"Fully ported to Drupal 9"
thex;"The X theme is compatible with 9 also."
ip_anon;"The 8.x-1.x branch of this module supports Drupal 9."
colossal_menu;"Version 8.x-1.4 is Drupal 9 compatible."
twig_debugger;"This module is Drupal 9 compatible 🍻"
flood_settings;"This module is already compatible with Drupal 9."
ckeditor_details;"This module is Drupal 9 ready."
admin_toolbar_mediteran;"Drupal 9 is currently supported from version 1.5"
entitygroupfield;"Supports Drupal 8.8.x through 9.0.x."
responsive_background_image;"This module is Drupal 9 compatible in the latest branch (>= alpha2)"
simple_mail;"This module was ported to Drupal 9 during DrupalCon Global 2020."
rocket_chat;"Help test this project at #<a href=""https://www.drupal.org/project/rocket_chat/issues/3132031"">3132031</a>"
paragraphs_entity_embed;"We are now ready for D9 and added a compatibility release."
simple_facebook_pixel;"This module is Drupal 9 ready."
custom_view_filters;"This module is already compatible with Drupal 9."
date_ap_style;"This module is Drupal 9 ready!"
rel_to_abs;"Alpha release is here https://www.drupal.org/project/rel_to_abs/releases/2.2.0-alpha1"
entity_language_fallback;"Help port this project at [#3088973]"
helper;"This module is Drupal 9 compatible."
address_display;"Drupal 9 is also supported."
minimal_lite;"The theme is fully compatible with Drupal 9"
recurring_events;"Built and tested against D8.8, D8.9 and D9.0."
betterlt;"This module is Drupal 9 compatible 🍻"
lockr;"Lockr works wonderfully on Drupal 9!"
fraction;"The 2.x branch is compatible with Drupal 9."
age_field_formatter;"This module is Drupal 9 ready."
rules_webform;"3.0.1 release is intended for Drupal 9."
layout_builder_base;"The module is Drupal 9 ready!"
ui_styles;"Already compatible (no deprecated API & core_version_requirement is set)"
ui_patterns_field_formatters;"Already compatible (no deprecated API & core_version_requirement is set)"
bibcite;"Currently no known Drupal 9 compatibility issues in latest <a href=""https://www.drupal.org/project/bibcite/releases/8.x-1.x-dev"">8.x-1.x-dev</a>. [#3106019] [#3122162] [#3122519] [#3122751] [#3122552]"
ckeditor_specialchars;"Drupal 9 ready"
workflows_field;"Drupal >=8.9 and Drupal 9 support can be found in 2.x branch."
single_image_formatter;"This module and its submodules are already compatible with Drupal 9."
fortytwo;"Drupal 9 compatible!"
electra;"At present compatible with Drupal 9"
userpoints;"This module is compatible with Drupal 9 from version 1.0-beta1 onwards"
breeze;"3.0.0 branch works on Both D8 and D9"
views_autorefresh_d8;"D9 ready"
ckeditor_images_gallery;"CKEditor Images Gallery 8.x-1.4+ supports Drupal 9. Enjoy."
maestro;"A 3.0.0-xxx release for Maestro has been provided.  This release has removed all deprecated code, has code style updates and allows Maestro to be run on D8.8+ and D9."
varbase_layout_builder;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_layout_builder?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
remove_entity_untranslatable_field_validation;"Drupal 9 compatible."
better_field_descriptions;"Better Field Descriptions 8.x-1.5+ supports Drupal 9. Enjoy."
email_confirmer;"Work in progress, see [#3119778]"
migrate_source_directory;"Compatible with Drupal 9."
smart_sql_idmap;"Smart SQL ID Map is compatible with Drupal 9"
htmlpurifier;"As of 1.0-rc2, full support for Drupal 8 and Drupal 9 is available."
jsonb;"Compatible with 9.0 since 8.x-1.0-beta3"
mimedetect;"D9 compatibility added to dev version"
private_content;"Private content supports Drupal 9"
image_link_attributes;"The version 9.x release of the Image Link Attributes module has been tested and is ready to go. I'll tag the 9.x release on the day Drupal 9 lands."
toolbar_language_switcher;"The current dev version has to be compatible with Drupal Core 9. Anyway, any feature or bug requests are welcome."
preprocess;"8.x-1.3+ is Drupal 9 compatible."
ui_examples;"Already compatible (no deprecated API & core_version_requirement is set)"
commerce_variation_add_to_cart;"This module is Drupal 9 ready."
section_library;"Ready for Drupal 9!"
bootstrap4_modal;"This module is Drupal 9 ready <a href=""https://www.drupal.org/project/bootstrap4_modal/issues/3122876"">https://www.drupal.org/project/bootstrap4_modal/issues/3122876</a>"
go_back_history;"This module is compatible with Drupal 9."
language_hierarchy;"The latest 2.0.0-rc1 release is compatible with Drupal 9!"
user_menu_avatar;"Drupal Rector patch for D9 compatibility has been applied."
webform_mass_email;"This module is Drupal 9 compatible."
fixed_path_alias;"Done as part of [#3086814]"
pcr;"This module is ready for Drupal 9!"
restaurant_lite;"The theme is fully compatible with Drupal 9"
content_synchronizer;"Content Synchronizer supports Drupal 9 since version 3.0"
extra_body_classes;"Compatible with Drupal 9"
views_attach_library;"Fully Drupal 9 compatible as of 8.x-1.x."
existing_values_autocomplete_widget;"Use version 2.x for D9"
pfm;"Compatible since version 8.x-1.2"
matomo_reports;"This module is Drupal 9 ready!"
view_user_email;"1.x.x is compatible with Drupal 9."
fvm;"This module is fully compatible with Drupal 9."
convert_nodes;"Converted by lobodacyril"
d8_google_optimize_hide_page;"Fully ported to Drupal 9"
formatter_suite;"Formatter Suite 8.x-1.3 is compatible with Drupal 9."
views_fractionslider;"<strong>FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found.  <strong>Views FractionSlider 8.x-1.2</strong> Scanned on 09-Apr-2020. No known issues found."
cck_select_other;"<ul>   <li>Currently compatible with 9.0.0. [#3089761]</li>   <li>Future state: Possibly adding migrations to select_or_other module [#3093944]. Please discuss opinions in that issue.</li> </ul>"
date_recur_interactive;"Not tested with Drupal 9. As of September 2020 the recommended path is to switch to an alternative/custom widget than continue using this in Drupal 9. This may change if a new maintainer is identified."
jquery_carousel;"jQuery Carousel 8.x-1.0+ supports Drupal 9."
mili;"Mili is compatible with 9 also."
view_profiles_perms;"Project is compatible with Drupal 9 (2.0.x)"
editor_button_link;"8.x-1.0-beta3 is [#3130736]."
ckeditor_oembed;"Porting this project to D9 will start with Drupal 8.9 first release ."
varbase_blog;"<strong><a href=""https://www.drupal.org/project/issues/search/varbase_blog?project_issue_followers=&issue_tags_op=%3D&issue_tags=Drupal+9+compatibility%2C+Drupal+9+readiness"">Works and ready for Drupal 9.</a></strong>"
modifiers_pack;"This module is Drupal 9 compatible."
